"Name","Last Name","Gender","Nationality","Occupation","Birth Year","Death Year","Age","Rating"
"George","Smithington","Male","United States of America; Kingdom of Great Britain","Politician","1732","1799","67","5"
"Douglas","Adamsmith","Male","United Kingdom","Artist","1952","2001","49","4.9"
"Abraham","Smithcoln","Male","United States of America","Politician","1809","1865","56","4.8"
"Wolfgang","Amadeus Motzsmith","Male","Archduchy of Austria; Archbishopric of Salzburg","Artist","1756","1791","35","4.7"
"Ludwig","van Beetsmith","Male","Holy Roman Empire; Austrian Empire","Artist","1770","1827","57","4.6"
"El","Smitho","Male","Spain; Republic of Venice","Artist","1541","1614","73","4.2"
"Elvis","Smithley","Male","United States of America","Artist","1935","1977","42","4.1"
"Galileo","Galismith","Male","Grand Duchy of Tuscany; Duchy of Florence","Astronomer","1564","1642","78","5"
"Patricio Aylwin","Smith","Male","Chile","Politician","1918","2016","98","4.9"
"Louis IX of France","Smith","Male","France","Ruler","1214","1270","56","4.8"
"Adolf Hitler","Smith","Male","Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria","Statesperson","1889","1945","56","4.7"
"Blanche of Castile","Smith","Female","Kingdom of Castile","Regent","1188","1252","64","4.6"
"Piet Kraak","Smith","Male","Kingdom of the Netherlands","Athlete","1921","1984","63","4.5"
"Augusto Pinochet","Smith","Male","Chile","Politician","1915","2006","91","4.3"
"Yanka Kupala","Smith","Male","Byelorussian Soviet Socialist Republic; Russian Empire; Belarusian People's Republic","Artist","1882","1942","60","4.2"
"Linda Lovelace","Smith","Female","United States of America","Artist","1949","2002","53","4.1"
"Bob Marley","Smith","Male","Jamaica","Artist","1945","1981","36","2.4"
"Carl Sagan","Smith","Male","United States of America","Researcher","1934","1996","62","5"
"Salvador Allende","Smith","Male","Chile","Politician","1908","1973","65","4.9"
"Denis Diderot","Smith","Male","France; Kingdom of France","Researcher","1713","1784","71","4.8"
"Georges Brassens","Smith","Male","France","Artist","1921","1981","60","4.7"
"Philipp Ludwig von Seidel","Smith","Male","German Empire; German Confederation","Researcher","1821","1896","75","4.6"
"Eduardo Frei Montalva","Smith","Male","Chile","Politician","1911","1982","71","4.5"
"Arthur Rimbaud","Smith","Male","France; French Third Republic; Second French Empire","Artist","1854","1891","37","4.3"
"Charles Baudelaire","Smith","Male","France","Artist","1821","1867","46","3.9"
