"Name","Smith","Gender","Country","Occupation","Birth year","Death year","Age",""
"George Washington","Smith","Male","United States of America; Kingdom of Great Britain","Politician","1732","1799","67",""
"Douglas Adams","Smith","Male","United Kingdom","Artist","1952","2001","49",""
"Abraham Lincoln","Smith","Male","United States of America","Politician","1809","1865","56",""
"Wolfgang Amadeus Mozart","Smith","Male","Archduchy of Austria; Archbishopric of Salzburg","Artist","1756","1791","35",""
"Ludwig van Beethoven","Smith","Male","Holy Roman Empire; Austrian Empire","Artist","1770","1827","57",""
"Jean-FranÃ§ois Champollion","Smith","Male","Kingdom of France; First French Empire","Egyptologist","1790","1832","42",""
"Paul Morand","Smith","Male","France","Artist","1888","1976","88",""
"Claude Monet","Smith","Male","France","Artist","1840","1926","86",""
"Diego VelÃ¡zquez","Smith","Male","Spain","Artist","1599","1660","61",""
"El Greco","Smith","Male","Spain; Republic of Venice","Artist","1541","1614","73",""
"Elvis Presley","Smith","Male","United States of America","Artist","1935","1977","42"," "
"Galileo Galilei","Smith","Male","Grand Duchy of Tuscany; Duchy of Florence","Astronomer","1564","1642","78",""
"Patricio Aylwin","Smith","Male","Chile","Politician","1918","2016","98",""
"Louis IX of France","Smith","Male","France","Ruler","1214","1270","56",""
"Adolf Hitler","Smith","Male","Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria","Statesperson","1889","1945","56",""
"Blanche of Castile","Smith","Female","Kingdom of Castile","Regent","1188","1252","64",""
"Piet Kraak","Smith","Male","Kingdom of the Netherlands","Athlete","1921","1984","63",""
"Augusto Pinochet","Smith","Male","Chile","Politician","1915","2006","91",""
"Yanka Kupala","Smith","Male","Byelorussian Soviet Socialist Republic; Russian Empire; Belarusian People's Republic","Artist","1882","1942","60",""
"FrantiÅ¡ek PlÃ¡niÄka","Smith","Male","Czech Republic; Czechoslovakia","Athlete","1904","1996","92",""
"Linda Lovelace","Smith","Female","United States of America","Artist","1949","2002","53",""
"Bob Marley","Smith","Male","Jamaica","Artist","1945","1981","36",""
"Carl Sagan","Smith","Male","United States of America","Researcher","1934","1996","62",""
"Salvador Allende","Smith","Male","Chile","Politician","1908","1973","65",""
"Denis Diderot","Smith","Male","France; Kingdom of France","Researcher","1713","1784","71",""
"Georges Brassens","Smith","Male","France","Artist","1921","1981","60",""
"Philipp Ludwig von Seidel","Smith","Male","German Empire; German Confederation","Researcher","1821","1896","75",""
"Eduardo Frei Montalva","Smith","Male","Chile","Politician","1911","1982","71",""
"Arthur Rimbaud","Smith","Male","France; French Third Republic; Second French Empire","Artist","1854","1891","37",""
"Ulrich FrÃ©dÃ©ric Woldemar, Comte de Lowendal","Smith","Male","Denmark; Russian Empire; Kingdom of France; Electorate of Saxony","Politician","1700","1755","55",""
"Charles Baudelaire","Smith","Male","France","Artist","1821","1867","46",""
